"country";"actor_id";"actor_name";"mechanism_id";"mechanism_name";"relationship_type";"source_id";"citation";"legal_anchor_type";"anchor_strength";"manual_review_required";"notes"
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-011";"transparency_and_accountability";"reference";"MEX-INERM";"MEX-INERM 83 Fr. III.";"electoral_administrative";"2";"true";""
"Mexico";"MEX-ACT-002";"TEPJF";"MEX-MECH-007";"recall";"faculty";"MEX-INERM";"MEX-INERM 83 Fr. VI.";"electoral_administrative";"2";"true";""
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-008";"electoral_remedies";"faculty";"MEX-INERM";"MEX-INERM 83 Fr. VI.";"electoral_administrative";"2";"true";""
"Mexico";"MEX-ACT-002";"TEPJF";"MEX-MECH-008";"electoral_remedies";"faculty";"MEX-INERM";"MEX-INERM 83 Fr. VI.";"electoral_administrative";"2";"true";""
"Mexico";"MEX-ACT-002";"TEPJF";"MEX-MECH-013";"electoral_authority_internal_governance";"faculty";"MEX-INERM";"MEX-INERM 83 Fr. VI.";"electoral_administrative";"2";"true";""
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-006";"popular_consultation";"obligation";"MEX-LFCP";"MEX-LFCP 3";"statutory";"4";"false";""
"Mexico";"MEX-ACT-002";"TEPJF";"MEX-MECH-006";"popular_consultation";"obligation";"MEX-LFCP";"MEX-LFCP 3";"statutory";"4";"false";""
"Mexico";"MEX-ACT-003";"SCJN";"MEX-MECH-006";"popular_consultation";"obligation";"MEX-LFCP";"MEX-LFCP 3";"statutory";"4";"false";""
"Mexico";"MEX-ACT-004";"Congress";"MEX-MECH-006";"popular_consultation";"obligation";"MEX-LFCP";"MEX-LFCP 3";"statutory";"4";"false";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-001";"vote";"reference";"MEX-LFCP";"MEX-LFCP 4";"statutory";"4";"false";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-006";"popular_consultation";"reference";"MEX-LFCP";"MEX-LFCP 4";"statutory";"4";"false";""
"Mexico";"MEX-ACT-003";"SCJN";"MEX-MECH-001";"vote";"reference";"MEX-LFCP";"MEX-LFCP 5";"statutory";"4";"false";""
"Mexico";"MEX-ACT-004";"Congress";"MEX-MECH-001";"vote";"reference";"MEX-LFCP";"MEX-LFCP 12 Fr. III.";"statutory";"4";"false";""
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-013";"electoral_authority_internal_governance";"reference";"MEX-LFCP";"MEX-LFCP 36";"statutory";"4";"false";""
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-001";"vote";"reference";"MEX-LFCP";"MEX-LFCP 43";"statutory";"4";"false";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-001";"vote";"faculty";"MEX-LFCP";"MEX-LFCP 48";"statutory";"4";"false";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-003";"political_parties";"faculty";"MEX-LFCP";"MEX-LFCP 48";"statutory";"4";"false";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-003";"political_parties";"faculty";"MEX-LFCP";"MEX-LFCP 48";"statutory";"4";"false";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-006";"popular_consultation";"faculty";"MEX-LFCP";"MEX-LFCP 48";"statutory";"4";"false";""
"Mexico";"MEX-ACT-002";"TEPJF";"MEX-MECH-001";"vote";"reference";"MEX-LFCP";"MEX-LFCP 53";"statutory";"4";"false";""
"Mexico";"MEX-ACT-003";"SCJN";"MEX-MECH-013";"electoral_authority_internal_governance";"obligation";"MEX-LFCP";"MEX-LFCP 62";"statutory";"4";"false";""
"Mexico";"MEX-ACT-002";"TEPJF";"MEX-MECH-013";"electoral_authority_internal_governance";"reference";"MEX-LFCP";"MEX-LFCP 63";"statutory";"4";"false";""
"Mexico";"MEX-ACT-003";"SCJN";"MEX-MECH-008";"electoral_remedies";"reference";"MEX-LFCP";"MEX-LFCP 64";"statutory";"4";"false";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-008";"electoral_remedies";"reference";"MEX-LFCP";"MEX-LFCP 64";"statutory";"4";"false";""
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-008";"electoral_remedies";"reference";"MEX-LFCP";"MEX-LFCP 65";"statutory";"4";"false";""
"Mexico";"MEX-ACT-004";"Congress";"MEX-MECH-008";"electoral_remedies";"reference";"MEX-LFCP";"MEX-LFCP 65";"statutory";"4";"false";""
"Mexico";"MEX-ACT-004";"Congress";"MEX-MECH-013";"electoral_authority_internal_governance";"reference";"MEX-LFCP";"MEX-LFCP 65";"statutory";"4";"false";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-013";"electoral_authority_internal_governance";"reference";"MEX-LFCP";"MEX-LFCP 65";"statutory";"4";"false";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-001";"vote";"reference";"MEX-LFRM";"MEX-LFRM 2";"statutory";"4";"false";""
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-001";"vote";"obligation";"MEX-LFRM";"MEX-LFRM 4";"statutory";"4";"false";""
"Mexico";"MEX-ACT-002";"TEPJF";"MEX-MECH-001";"vote";"obligation";"MEX-LFRM";"MEX-LFRM 4";"statutory";"4";"false";""
