"provision_id";"country";"source_id";"source_title";"source_file";"source_type";"normative_rank";"article";"subdivision";"citation";"provision_text";"mechanism";"right_dimension";"actor";"authority";"obligation_or_faculty";"procedure";"requirement";"restriction";"remedy";"sanction_or_accountability";"legal_anchor_type";"anchor_strength";"operational_dependence";"gap_type";"confidence";"manual_review_required";"notes"
"CRC-RATSRE-0088";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"25";"Inc. b";"CRC-RATSRE 25 Inc. b";"b) Si han trabajado durante un tiempo de cinco años y cincuenta semanas a nueve años y cincuenta semanas, veinte días hábiles; y";"";"";"";"";"";"";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0089";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"25";"Inc. c";"CRC-RATSRE 25 Inc. c";"c) Si han trabajado durante un tiempo de diez años y cincuenta semanas o más, 25 días hábiles.";"";"";"";"";"";"";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0090";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"26";"";"CRC-RATSRE 26";"Los trabajadores gozarán sin interrupción del período mínimo de dos semanas de vacaciones, salvo que por circunstancias especiales de conveniencia para el trabajador, hayan de ser tomadas parcialmente, sin que puedan exceder de cuatro tractos. Aquel trabajador que de conformidad con la antigüedad indicada en el numeral anterior, supere las dos semanas de vacaciones por año, podrá gozar sobre el exceso en días a esas dos semanas sus vacaciones sin limitación de fraccionamiento. Para ello, el trabajador deberá obtener la anuencia previa de su jefatura inmediata, tomando en cuenta las exigencias del trabajo y la conveniencia del servicio público. En todo caso, cada año toda dependencia del Tribunal deberá realizar una programación de las vacaciones en forma adelantada, racional y ordenada y sin menoscabo del servicio público. No se encuentran comprendidos dentro de los tractos indicados en este artículo los días de vacaciones colectivas que disponga el Tribunal. Nota: Reformado el artículo 26 por el Decreto n.° 15-2016 del Tribunal Supremo de Elecciones; publicado en La Gaceta n.° 245 de 21 de diciembre de 2016.-";"electoral_authority_internal_governance";"";"TSE";"TSE";"faculty";"";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0091";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"27";"";"CRC-RATSRE 27";"Vencidos los tres meses de que habla el artículo inmediato anterior, el trabajador, con al menos quince días de anticipación, avisará al patrono la fecha en que tomará las vacaciones que se le deban. Queda REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES Decreto n.° 3-1996 prohibido acumular las vacaciones, pero podrán serlo por una vez cuando el trabajador desempeñe labores técnicas, de dirección, de confianza u otras análogas relacionadas con el servicio público que se brinda, que dificulten especialmente su reemplazo, o cuando la residencia de su familia quedare situada en provincia distinta del lugar donde presta sus servicios. Nota: Reformado el artículo 27 por el decreto n°. 10-2015 del Tribunal Supremo de Elecciones, publicado en La Gaceta n°. 59 del 25 de marzo de 2015.";"electoral_authority_internal_governance";"";"TSE";"TSE";"";"";"";"yes";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0092";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"28";"";"CRC-RATSRE 28";"Para las elecciones nacionales o municipales, las vacaciones se suspenderán para todos los funcionarios desde el primero de enero del año electoral hasta el propio día de las elecciones y se restringirán desde el primero de octubre hasta el 31 de diciembre del año preelectoral. Si tuviere que celebrarse una segunda ronda para la elección de Presidente y Vicepresidentes de la República, la suspensión de vacaciones comprenderá hasta el primer domingo de abril de ese mismo año. En el caso de realizarse un proceso de referéndum, la suspensión de las vacaciones operará a partir de la fecha que acordare el Tribunal y hasta el propio día de la celebración del referéndum, salvo que, a juicio del mismo Tribunal, sea necesario extender dicha suspensión. Para la determinación del disfrute de vacaciones durante el período de restricción se deberá incluir en los planes anuales de vacaciones de cada dependencia, el detalle de las personas que podrán disfrutarlas en ese período tomando como referencia primeramente la Tabla de restricción de vacaciones para dependencias institucionales, y complementado con el análisis que cada jefatura deberá realizar con el propósito de que no se vea afectado el desarrollo de ningún programa electoral o actividad relacionada con estos, teniendo presente que aunque la dependencia no esté dentro de la restricción debe considerarse el personal destacado en los programas electorales, todo lo cual deberá contar con el visto bueno del Director General del Registro Electoral y de Financiamiento de Partidos Políticos, con base en las fechas de ejecución de los programas electorales. Excepcionalmente, previo criterio de ese Director y de la Jefatura correspondiente y acreditado el derecho al disfrute respectivo, el Secretario del Tribunal, o los Directores Institucionales, podrán, a su juicio, valorar y resolver la solicitud de concesión de vacaciones a los funcionarios bajo su jerarquía, dentro de los mencionados períodos de restricción o suspensión. Cuan";"political_parties|referendum|electoral_authority_internal_governance";"freedom_of_association";"TSE|Partidos_Politicos|Poder_Ejecutivo";"TSE";"";"yes";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0093";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"29";"";"CRC-RATSRE 29";"Las vacaciones serán imprescriptibles en tanto el contrato laboral esté vigente y hasta el término de un año, contado desde la fecha de extinción de dicho contrato. Nota: Reformado el artículo 29 por Decreto n.° 15-2007 del Tribunal Supremo de Elecciones, dado el 28 de agosto de 2007. Publicado en La Gaceta n.° 173 de 10 de setiembre de 2007.-";"electoral_authority_internal_governance";"";"TSE";"TSE";"";"yes";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0094";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"30";"";"CRC-RATSRE 30";"Las licencias con goce de salario que no excedan de seis meses y las incapacidades que no excedan de tres meses, no interrumpirán la antigüedad del trabajo para los efectos de las vacaciones. #### CAPÍTULO VIII DE LAS LICENCIAS";"";"";"";"";"";"";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0095";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"31";"";"CRC-RATSRE 31";"Como regla de principio las licencias serán otorgadas sin goce de salario. Toda licencia o permiso que no exceda de un día dentro del mes calendario podrá ser otorgado, con goce de salario, por la jefatura inmediata de la persona funcionaria, siempre y cuando lo considere justificado. Esta licencia puede ser fraccionada como máximo en dos tractos de cuatro horas cada uno. Las licencias o permisos por más de uno y hasta tres días del mismo mes calendario, podrán ser otorgadas, sin goce de salario, por el Director General respectivo. Si exceden de ese lapso, o se trata de un REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES Decreto n.° 3-1996 permiso con goce de salario por más de un día, solo por el Tribunal Supremo de Elecciones. Nota: Reformado el artículo 31 por Decreto n°. 8-2017 del Tribunal Supremo de Elecciones, publicado en La Gaceta n.° 139 del 21 de julio de 2017.";"electoral_authority_internal_governance";"";"TSE";"TSE";"faculty";"";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0096";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"32";"";"CRC-RATSRE 32";"Se concederá licencia con goce de salario en los siguientes casos:";"";"";"";"";"";"";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0097";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"32";"Inc. a";"CRC-RATSRE 32 Inc. a";"a) De una semana al servidor que contraiga matrimonio, pero en caso de matrimonio entre empleados, la licencia será simultánea.";"";"";"";"";"";"";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0098";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"32";"Inc. b";"CRC-RATSRE 32 Inc. b";"b) De una semana al servidor padre por nacimiento o adopción de hijo o hija. Al término de dicho plazo y durante las cuatro semanas posteriores, podrá gozar de un día de licencia a la semana, que se definirá previa coordinación con su superior inmediato.";"";"";"";"";"faculty";"yes";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0099";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"32";"Inc. c";"CRC-RATSRE 32 Inc. c";"c) De una semana por causa del fallecimiento del cónyuge, hijos o padres consanguíneos o por afinidad.";"";"";"";"";"";"";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0100";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"32";"Inc. d";"CRC-RATSRE 32 Inc. d";"d) De dos días naturales por causa del fallecimiento de hermanos y abuelos consanguíneos, que podrán extenderse hasta cuatro días naturales en caso de que el fallecimiento ocurra fuera del lugar de residencia del empleado, siempre y cuando a juicio de la jefatura respectiva amerite esa extensión de plazo, lo que en todo caso será comprobado por éste y por la Oficina de Personal. Ahora bien, respecto de los supuestos establecidos en los incisos c) y d) del presente artículo, el plazo de la licencia –según sea el caso– se computará a partir del día natural siguiente al deceso del familiar que se trate, otorgándose además al funcionario el propio día del fallecimiento, independientemente de la hora que ocurra, a título de licencia. Nota: Reformado el inciso b) del artículo 32 por el Decreto n.° 7-2016 del Tribunal Supremo de Elecciones, publicado en La Gaceta n.° 146 del 29 de julio de 2016. Nota: Adicionado el párrafo final al artículo 32 por el Decreto n.° 20-2019 del Tribunal Supremo de Elecciones, publicado en La Gaceta n.° 207 del 31 de octubre de 2019.";"electoral_authority_internal_governance";"";"TSE";"TSE";"";"yes";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
