country;source_id;source_title;actor_id;actor_name;actor_type;mechanisms;relationship_types;process_stages;edge_count;highest_anchor_strength;manual_review_required;implication;notes
Costa Rica;CRC-CE;CRC-CE;Poder_Ejecutivo;Poder_Ejecutivo;Institutional;civil_registry_electoral_functions|vote|referendum|political_parties|right_to_stand_for_election|transparency_and_accountability|electoral_authority_internal_governance;faculty;Implementation;11;4;false;Actor Poder_Ejecutivo is mandated by this instrument.;
Costa Rica;CRC-CE;CRC-CE;Asamblea_Legislativa;Asamblea_Legislativa;Institutional;civil_registry_electoral_functions|vote|referendum|electoral_remedies|political_parties|right_to_stand_for_election|transparency_and_accountability|electoral_authority_internal_governance;obligation|faculty;Implementation;18;4;false;Actor Asamblea_Legislativa is mandated by this instrument.;
Costa Rica;CRC-LREF;CRC-LREF;Juntas_Electorales;Juntas_Electorales;Institutional;electoral_authority_internal_governance|civil_registry_electoral_functions|vote|referendum;faculty;Implementation;2;4;false;Actor Juntas_Electorales is mandated by this instrument.;
Costa Rica;CRC-LREF;CRC-LREF;TSE;TSE;Institutional;civil_registry_electoral_functions|vote|referendum|citizen_initiative|legislative_petition_or_participation|right_to_stand_for_election|electoral_authority_internal_governance;faculty;Implementation;21;4;false;Actor TSE is mandated by this instrument.;
Costa Rica;CRC-LREF;CRC-LREF;Ciudadanos;Ciudadanos;Institutional;civil_registry_electoral_functions|vote|referendum|citizen_initiative|legislative_petition_or_participation|electoral_authority_internal_governance;faculty;Implementation;8;4;false;Actor Ciudadanos is mandated by this instrument.;
Costa Rica;CRC-LREF;CRC-LREF;Registro_Civil;Registro_Civil;Institutional;civil_registry_electoral_functions|vote|referendum|citizen_initiative|legislative_petition_or_participation|electoral_authority_internal_governance;faculty;Implementation;6;4;false;Actor Registro_Civil is mandated by this instrument.;
Costa Rica;CRC-LREF;CRC-LREF;Poder_Ejecutivo;Poder_Ejecutivo;Institutional;civil_registry_electoral_functions|vote|referendum|citizen_initiative|legislative_petition_or_participation|electoral_authority_internal_governance;faculty;Implementation;8;4;false;Actor Poder_Ejecutivo is mandated by this instrument.;
Costa Rica;CRC-LREF;CRC-LREF;Asamblea_Legislativa;Asamblea_Legislativa;Institutional;civil_registry_electoral_functions|vote|referendum|citizen_initiative|legislative_petition_or_participation|right_to_stand_for_election|electoral_authority_internal_governance;faculty;Implementation;8;4;false;Actor Asamblea_Legislativa is mandated by this instrument.;
Costa Rica;CRC-LIP;CRC-LIP;TSE;TSE;Institutional;civil_registry_electoral_functions|vote|citizen_initiative|legislative_petition_or_participation|electoral_authority_internal_governance;faculty;Implementation;3;4;false;Actor TSE is mandated by this instrument.;
Costa Rica;CRC-LIP;CRC-LIP;Ciudadanos;Ciudadanos;Institutional;civil_registry_electoral_functions|vote|citizen_initiative|legislative_petition_or_participation|electoral_authority_internal_governance;faculty;Implementation;3;4;false;Actor Ciudadanos is mandated by this instrument.;
Costa Rica;CRC-LIP;CRC-LIP;Registro_Civil;Registro_Civil;Institutional;legislative_petition_or_participation|citizen_initiative|civil_registry_electoral_functions|vote;faculty;Implementation;1;4;false;Actor Registro_Civil is mandated by this instrument.;
Costa Rica;CRC-LIP;CRC-LIP;Poder_Ejecutivo;Poder_Ejecutivo;Institutional;legislative_petition_or_participation|citizen_initiative|vote;;Implementation;2;4;false;Actor Poder_Ejecutivo is mandated by this instrument.;
Costa Rica;CRC-LIP;CRC-LIP;Asamblea_Legislativa;Asamblea_Legislativa;Institutional;civil_registry_electoral_functions|vote|citizen_initiative|legislative_petition_or_participation|electoral_authority_internal_governance;faculty;Implementation;5;4;false;Actor Asamblea_Legislativa is mandated by this instrument.;
Costa Rica;CRC-LJC;CRC-LJC;Sala_Constitucional;Sala_Constitucional;Institutional;constitutional_remedies|electoral_authority_internal_governance;obligation|faculty;Implementation;21;4;false;Actor Sala_Constitucional is mandated by this instrument.;
Costa Rica;CRC-LJC;CRC-LJC;TSE;TSE;Institutional;electoral_remedies|constitutional_remedies|electoral_authority_internal_governance;obligation;Implementation;5;4;false;Actor TSE is mandated by this instrument.;
Costa Rica;CRC-LJC;CRC-LJC;Corte_Suprema;Corte_Suprema;Institutional;electoral_remedies|constitutional_remedies|electoral_authority_internal_governance;faculty;Implementation;5;4;false;Actor Corte_Suprema is mandated by this instrument.;
Costa Rica;CRC-LJC;CRC-LJC;Poder_Ejecutivo;Poder_Ejecutivo;Institutional;constitutional_remedies;faculty;Implementation;3;4;false;Actor Poder_Ejecutivo is mandated by this instrument.;
Costa Rica;CRC-LJC;CRC-LJC;Asamblea_Legislativa;Asamblea_Legislativa;Institutional;legislative_petition_or_participation|constitutional_remedies|vote|electoral_authority_internal_governance;faculty;Implementation;7;4;false;Actor Asamblea_Legislativa is mandated by this instrument.;
